,block
4638,34853209
4637,34853229
10181,36210019
10180,37037469
10179,40069569
10095,44055108
10178,46070998
4715,47565148
4714,47566378
4713,47566918
10177,49107758
10176,49108438
4712,49423198
4711,49423648
4710,49424198
4709,49424458
10092,55802717
10083,63974836
9547,64806046
9546,65794486
9545,66822596
10082,66842816
10081,66842856
10080,66842866
10079,66843066
10078,66843466
10077,66843926
10076,66844036
10075,66844116
10074,66950566
10073,69835806
10293,72196445
10292,72282285
10291,72282295
10290,74173535
10289,74173545
10288,74173605
10287,74173675
10286,74173765
10285,74173785
10284,74173815
10283,74173855
10282,74173885
10159,77879535
10158,77879685
10157,77880705
10156,77883315
10155,77886215
10154,77886455
10018,78231715
10017,78231715
10153,78353715
10016,78792745
10152,79021435
10151,79022075
10150,79022215
10149,79024195
10148,79300725
10147,79300985
10146,79301085
10145,79301255
10144,79301785
10143,79301875
10142,79302575
9541,79533055
10141,79935855
8712,80106075
5175,81643454
8967,81724174
8127,81793174
8175,82187564
8966,82475844
8174,82758614
10133,83211624
8965,83265474
8173,83408374
5178,83971614
8964,84169424
8710,84358274
8172,84370574
8124,84503104
5173,84979634
4728,85059624
8663,85268034
8171,85338304
8963,85645744
8709,85903864
9539,85904294
8123,85950004
8170,86214584
5172,86234454
10109,86417324
8169,86609124
8962,86709844
10131,86767804
10130,86770744
10108,87106554
8168,87289874
10089,87363274
8961,87599794
10168,87794824
4295,87884294
5228,88005764
8649,88021614
8167,88045084
5163,88118284
8960,88208324
10132,88322064
8647,88459894
8166,88516534
8121,88540324
8120,88540334
8708,88721744
10107,88766834
10129,88804094
10128,88808214
4294,88879034
8646,88940674
10088,89198194
8959,89248244
5162,89361724
10106,89378034
8165,89413234
8645,89523784
8662,89547064
8164,90104664
10194,90112204
8644,90112614
8269,90447903
10014,90466243
8957,90603003
8643,90718353
10105,90824933
10013,90906213
8163,90994443
8119,91046213
10070,91260303
8707,91279203
10012,91321793
8642,91337083
4364,91370303
8162,91676793
10011,91739583
5171,91788943
10281,91830423
4684,91890423
8641,91927283
8956,91957273
10104,91965473
10010,92146663
10280,92175123
4683,92178503
9581,92183743
10279,92554513
10278,92555413
8640,92561193
9580,92572603
10009,92604723
8267,92849543
8160,92865293
8161,92865293
9579,92974243
10008,93095013
8639,93133463
10007,93159423
10006,93164383
10087,93165203
8955,93290443
9578,93414023
10167,93417973
8118,93457583
4681,93611703
8638,93669003
9577,93832883
8637,94213483
8158,94219133
4727,94397283
4726,94502423
4725,94504053
8265,94661873
8636,94748733
8954,94787973
5170,94797543
4737,94885983
9626,94970813
4293,95186233
4639,95535053
8705,95676313
9624,95691743
8157,95751403
8264,95773813
8633,95955883
4292,96010133
10193,96019543
9623,96037483
8117,96043073
10202,96107953
4344,96360253
8953,96401423
9622,96434613
9573,96468473
10103,96562263
4680,96979143
8156,97100193
9620,97100543
8606,97100583
10261,97119293
10260,97119523
9572,97335883
8631,97348233
8427,97428713
10127,97431193
10126,97433173
10125,97433233
10124,97433283
10264,97442273
8116,97452803
10086,97510483
10123,97558873
10122,97558913
10121,97558963
10120,97559493
9701,97573083
8426,97688743
10259,97864813
10258,97865173
10119,97866443
10118,97866453
10257,97866623
9700,97890333
8604,97914813
5169,97915253
9618,97918863
8629,98055553
9474,98116723
8155,98125813
9571,98143543
9473,98144813
9699,98202603
8425,98233883
9617,98234583
10192,98236803
4724,98258583
9471,98274373
10053,98288723
8603,98302493
9470,98334353
4343,98503063
9698,98546823
9467,98589933
9616,98594263
9998,98654623
8704,98655233
8602,98674713
9466,98717953
8628,98722313
10263,98798463
8067,98840293
8424,98840343
9465,98876123
9697,98955313
9464,98999683
10052,99068763
9538,99070063
8601,99071233
9614,99074153
9463,99111663
8066,99231583
9462,99324243
8261,99363543
9997,99383363
9696,99384673
8627,99415593
8423,99429963
9613,99458183
8600,99489983
9461,99502193
9570,99568683
8065,99644783
8154,99657413
8260,99657933
9460,99677513
9695,99767033
10051,99787373
9612,99839423
9459,99862133
8599,99912113
10238,99967583
